"entrezgene_id","external_gene_name","NOD_Sample1_t1","NOD_Sample1_t2","NOD_Sample1_t3","NOD_Sample1_t4","NOD_Sample1_t5","NOD_Sample2_t1","NOD_Sample2_t2","NOD_Sample2_t3","NOD_Sample2_t4","NOD_Sample2_t5","NOD_Sample3_t1","NOD_Sample3_t2","NOD_Sample3_t3","NOD_Sample3_t4","NOD_Sample3_t5","NOD_Sample4_t1","NOD_Sample4_t2","NOD_Sample4_t3","NOD_Sample4_t4","NOD_Sample4_t5","NOD_Sample5_t1","NOD_Sample5_t2","NOD_Sample5_t3","NOD_Sample5_t4","NOD_Sample5_t5","NS_Sample1_t1","NS_Sample1_t2","NS_Sample1_t3","NS_Sample1_t4","NS_Sample1_t5","NS_Sample2_t1","NS_Sample2_t2","NS_Sample2_t3","NS_Sample2_t4","NS_Sample2_t5","NS_Sample3_t1","NS_Sample3_t2","NS_Sample3_t3","NS_Sample3_t4","NS_Sample3_t5","NS_Sample4_t1","NS_Sample4_t2","NS_Sample4_t3","NS_Sample4_t4","NS_Sample4_t5"
"14871","Gstt1",211,162,93,50,189,124,81,58,128,339,180,44,69,199,49,72,76,75,120,178,72,40,165,136,42,170,184,86,60,34,127,116,185,96,59,182,188,63,35,43,221,228,26,69,40
"21803","Tgfb1",9463,9922,10121,5899,6832,6596,9917,7127,4710,8504,7781,10442,6089,4798,5743,7336,8401,9045,5028,7067,4663,10817,7718,7655,4493,7431,12987,7040,6903,7436,7691,9794,7436,7403,4178,7906,10295,7228,1268,3412,5938,8239,4584,7051,2984
"77644","C330007P06Rik",1305,1127,1183,907,1122,1140,1297,1024,786,1719,883,1736,1006,903,1028,792,1233,1360,805,1094,479,1310,1071,981,758,1331,1471,1114,1114,1204,1199,1250,1242,977,768,1240,1268,901,176,479,1052,1155,696,856,493
"20656","Sod2",2705,2670,2965,1658,2221,1647,2238,2099,1432,3758,2528,3292,2052,1771,1796,1616,2515,2512,1931,2249,2141,2893,2528,1922,1723,2491,3474,2231,2055,1968,2856,2550,3978,2106,1760,2900,3319,1841,427,807,2704,2937,1520,1697,1719
"14991","H2-M3",797,870,1346,752,942,553,1015,807,630,1199,531,1827,965,680,1100,510,1037,1238,700,809,238,1300,829,802,587,736,1330,1095,1026,1127,806,1333,777,857,688,746,1036,885,127,553,642,1096,683,646,426
"14990","H2-M2",1620,1821,4076,772,1788,727,2724,1035,616,1309,964,2043,1538,944,1536,420,2072,1465,943,1538,242,1976,2709,1873,1228,1263,2796,1295,1408,1313,1011,1282,1127,1141,864,851,2170,680,152,725,582,1115,876,1494,347
"18126","Nos2",214,154,1022,426,514,542,76,538,857,2614,69,1990,605,779,3326,1119,173,628,365,547,96,2605,356,271,343,199,330,1014,1118,553,277,1357,464,1448,1604,228,108,979,48,341,295,3232,730,384,1262
"14064","F2rl2",83,53,54,56,48,50,57,54,40,139,75,58,63,54,42,55,67,53,42,68,31,112,64,66,47,54,81,63,52,43,33,72,65,42,24,67,29,37,9,21,73,67,33,40,11
"14063","F2rl1",580,337,601,288,378,673,338,484,138,942,301,276,275,142,189,524,180,166,87,281,169,1036,137,224,80,279,388,282,275,87,315,507,198,285,226,227,394,508,32,29,707,1009,147,199,75
"20655","Sod1",1824,1458,1705,736,1241,973,1213,1203,662,1900,1367,1463,1049,991,749,941,1249,1249,951,1131,528,1399,1399,964,649,1560,1987,1013,897,869,1584,1532,2306,1101,779,1787,1838,932,279,433,1583,1683,620,926,504
